date,description,amount,category
2026-07-01,VONS #2352 SAN DIEGO CA,-7.15,Groceries
2026-07-02,ARCO 218206 SAN DIEGO CA,-7.65,Transport
2026-07-03,TRADER JOE S #224 SAN DIEGO CA,-11.97,Groceries
2026-07-03,TRADER JOE S #224 SAN DIEGO CA,-2.49,Groceries
2026-07-03,SQ *ESSNTL COFFEE SAN DIEGO CA,-3.23,Dining
2026-07-05,PAYMENT - THANK YOU,600.0,Income
2026-07-06,DD *DOORDASH DAVESHOTC DOORDASH.COM CA,-19.32,Dining
2026-07-06,VONS #2352 SAN DIEGO CA,-8.88,Groceries
2026-07-07,VONS #2352 SAN DIEGO CA,-5.99,Groceries
2026-07-07,ZARA.COM NEW YORK NY,-59.11,Shopping
2026-07-08,TRADER JOE S #224 SAN DIEGO CA,-30.19,Groceries
2026-07-08,AWX*CR AWUS SHOPCIDER.COM DE CREDIT,34.7,Shopping
2026-07-09,VONS #2352 SAN DIEGO CA,-11.28,Groceries
2026-07-09,DD *DOORDASH ROTICUISI 855-431-0459 CA,-16.37,Dining
2026-07-10,RALPHS #0220 SAN DIEGO CA,-8.69,Groceries
2026-07-10,SQ *ESSNTL COFFEE SAN DIEGO CA,-3.23,Dining
2026-07-11,SEPHORA FASHION VALLEY SAN DIEGO CA,-7.88,Shopping
2026-07-11,10097 CAVA MISSION VAL SAN DIEGO CA,-14.17,Dining
2026-07-11,VONS #2352 SAN DIEGO CA,-5.79,Groceries
2026-07-12,VONS #2352SB SAN DIEGO CA,-10.64,Groceries
2026-07-12,VONS #2352 SAN DIEGO CA,-7.49,Groceries
2026-07-13,VONS #2352 SAN DIEGO CA,-7.58,Groceries
2026-07-13,DOORDASH*07/12-2 ORDER 855-431-0459 CA,-42.3,Dining
2026-07-14,AZTEC MARKET BELL PAVI 619-5947611 CA,-3.11,Groceries
2026-07-14,TRADER JOE S #224 SAN DIEGO CA,-12.72,Groceries
2026-07-15,VONS #2352 SAN DIEGO CA,-25.56,Groceries
2026-07-15,THE UPS STORE 6559 619-4879511 CA,-2.81,Other
2026-07-16,VONS #2352 SAN DIEGO CA,-35.42,Groceries
2026-07-17,CHIPOTLE 2574 SEATTLE WA,-13.6,Dining
2026-07-17,QFC #5807 SEATTLE WA,-3.31,Groceries
2026-07-18,TARGET T-2786 SEATTLE WA,-7.38,Shopping
2026-07-18,STARBUCKS STORE 00302 SEATTLE WA,-9.07,Dining
2026-07-18,TST*THE TAPROOM AT PIKE SEATTLE WA,-23.05,Dining
2026-07-19,SEATTLE MONORAIL SERVICE 2069052600 WA,-4.0,Transport
2026-07-19,SQ *BOMBAY BY CHAAT HOUSE SEATTLE WA,-11.32,Dining
2026-07-19,SQ *SEATTLE BEER CO. SEATTLE WA,-17.79,Dining
2026-07-19,SQ *SEATTLE BEER CO. SEATTLE WA,-17.79,Dining
2026-07-20,"CURSOR, AI POWERED IDE CURSOR.COM CA",-20.0,Subscriptions
2026-07-20,FH* WATERFRONT ADVENTU WATERFRONTADV WA,-118.4,Entertainment
2026-07-20,TST* BEECHER'S HANDMADE C SEATTLE WA,-9.93,Dining
2026-07-20,QFC #5807 SEATTLE WA,-8.88,Groceries
2026-07-20,SQ *BOMBAY BY CHAAT HOUSE SEATTLE WA,-4.52,Dining
2026-07-20,SQ *BOMBAY BY CHAAT HOUSE SEATTLE WA,-12.45,Dining
2026-07-20,SQ *BOMBAY BY CHAAT HOUSE SEATTLE WA,-7.92,Dining
2026-07-21,PAYMENT - THANK YOU,1163.56,Income
2026-07-21,AMAZON RETA* 1U8BI4WA3 SEATTLE W CREDIT,594.52,Shopping
2026-07-21,FH* WATERFRONT ADVENTU WATERFRONTADV WA,-35.28,Entertainment
2026-07-21,AS* ROBINHOOD-7E087597 ASCENDA.COM DE,-164.22,Other
2026-07-21,TST* EVERGREENS - UVILLAG SEATTLE WA,-15.89,Dining
2026-07-21,QFC #5807 SEATTLE WA,-5.12,Groceries
2026-07-21,QFC #5807 SEATTLE WA,-7.59,Groceries
2026-07-22,QFC #5807 SEATTLE WA,-37.23,Groceries
2026-07-22,CHILI'S SOUTH INDIAN CUI SEATTLE WA,-14.32,Dining
2026-07-22,CHILI'S SOUTH INDIAN CUI SEATTLE WA,-10.89,Dining
2026-07-23,ZARA.COM NEW YORK NY CREDIT,16.11,Shopping
2026-07-23,QFC #5807 SEATTLE WA,-26.1,Groceries
2026-07-24,WHOLEFDS WSL 10216 SEATTLE WA,-11.27,Groceries
2026-07-25,TST*MAHARAJA - LAURELHUR SEATTLE WA,-26.42,Dining
2026-07-25,NESPRESSO SEATTLE SEATTLE WA,-4.97,Dining
2026-07-26,TST*MAHARAJA - LAURELHUR SEATTLE WA,-51.23,Dining
2026-07-26,NESPRESSO SEATTLE SEATTLE WA,-4.97,Dining
2026-07-27,TRADER JOE S #224 SAN DIEGO CA,-44.51,Groceries
2026-07-27,QDOBA 1775 SEATTLE WA,-14.39,Dining
2026-07-31,TRADER JOE S #224 SAN DIEGO CA,-15.34,Groceries
2026-07-31,VONS #2352 SAN DIEGO CA,-9.48,Groceries
2026-08-01,ANTHROPIC* CLAUDE SUB ANTHROPIC.COM CA,-20.0,Subscriptions
2026-08-02,INTEREST CHARGE ON PURCHASES,-15.7,Other
2026-06-01,TRADER JOE S #224 SAN DIEGO CA,-10.05,Groceries
2026-06-03,TRADER JOE S #224 SAN DIEGO CA,-12.92,Groceries
2026-06-04,TRADER JOE S #224 SAN DIEGO CA,-2.2,Groceries
2026-06-05,TRADER JOE S #224 SAN DIEGO CA,-2.49,Groceries
2026-06-06,TRADER JOE S #224 SAN DIEGO CA,-1.49,Groceries
2026-06-06,TRADER JOE S #224 SAN DIEGO CA,-14.53,Groceries
2026-06-06,VONS #2352SB SAN DIEGO CA,-5.75,Groceries
2026-06-07,STARBUCKS 438 COLLEGE 619-5947611 CA,-6.95,Dining
2026-06-07,CVS/PHARMACY #09109 SAN DIEGO CA,-5.05,Shopping
2026-06-08,TRADER JOE S #224 SAN DIEGO CA,-1.49,Groceries
2026-06-08,TRADER JOE S #224 SAN DIEGO CA,-4.49,Groceries
2026-06-10,TRADER JOE S #224 SAN DIEGO CA,-20.68,Groceries
2026-06-11,BROKEN YOLK CAFE - SDS 619-5013030 CA,-21.77,Dining
2026-06-11,TRADER JOE S #224 SAN DIEGO CA,-14.56,Groceries
2026-06-12,ALASKA AIR 0272148352936 SEATTLE WA,-244.8,Transport
2026-06-13,ARCO 218206 SAN DIEGO CA,-10.14,Transport
2026-06-14,VONS #2352 SAN DIEGO CA,-18.24,Groceries
2026-06-16,TRADER JOE S #224 SAN DIEGO CA,-32.45,Groceries
2026-06-20,PEACOCK 82D86 PEACOCK 212-6640 CREDIT,7.99,Subscriptions
2026-06-20,PEACOCK 82D86 PEACOCK 212-6640138 NY,-7.99,Subscriptions
2026-06-20,AMAZON RETA* 1U8BI4WA3 WWW.AMAZON.CO WA,-594.52,Shopping
2026-06-20,"CURSOR, AI POWERED IDE CURSOR.COM CA",-20.0,Subscriptions
2026-06-20,PEACOCK 8654F PREMIUM 212-6640138 NY,-2.99,Subscriptions
2026-06-21,VONS #2352 SAN DIEGO CA,-12.07,Groceries
2026-06-21,RALPHS #0220 SAN DIEGO CA,-4.99,Groceries
2026-06-21,MTS PRONTO OPEN PAY 1 SAN DIEGO CA,-2.5,Transport
2026-06-21,SAN DIEGO INDIAN SPICES SAN DIEGO CA,-5.98,Groceries
2026-06-21,GARAGE SAN DIEGO CA,-43.15,Transport
2026-06-22,TRADER JOE S #224 SAN DIEGO CA,-19.23,Groceries
2026-06-23,PDF.NET LOS ANGELES CA,-0.95,Other
2026-06-26,TRADER JOE S #224 SAN DIEGO CA,-13.47,Groceries
2026-06-26,PAYMENT - THANK YOU,523.41,Income
2026-06-26,LATE FEE,-25.0,Other
2026-06-27,TRADER JOE S #224 SAN DIEGO CA,-18.44,Groceries
2026-06-28,VONS #2352 SAN DIEGO CA,-24.87,Groceries
2026-06-30,TRADER JOE S #224 SAN DIEGO CA,-19.09,Groceries
2026-06-30,AWX*CR AWUS SHOPCIDER.COM DE,-52.54,Shopping
2026-07-02,INTEREST CHARGE ON PURCHASES,-26.1,Other
