date,description,amount,category
2026-05-01,ACH DEBIT GREYSTAR MGMT RENT,-2292.99,Rent
2026-05-01,PLANET FITNESS #0921 DALLAS TX,-14.59,Subscriptions
2026-05-01,ARCO AMPM #5521 OAKLAND CA,-42.56,Transport
2026-05-01,XCEL ENERGY BILLPAY,-169.12,Utilities
2026-05-01,ZAPPOS.COM 800-927-7671 NV,-78.99,Shopping
2026-05-01,LATE PAYMENT FEE,-28.90,Other
2026-05-02,ONLINE PMT AIMCO PROPERTIES,-2122.00,Rent
2026-05-02,SPOTIFY LIVE EVENTS SF CA,-81.79,Entertainment
2026-05-03,TST* THE CORNER BISTRO NYC NY,-42.63,Dining
2026-05-03,MONEYGRAM TRANSFER,-78.50,Other
2026-05-04,KROGER #0287 COLUMBUS OH,-66.94,Groceries
2026-05-04,NYTIMES*SUBSCRIPTION 800-698-4637,-8.25,Subscriptions
2026-05-04,ARCO AMPM #5521 OAKLAND CA,-31.70,Transport
2026-05-04,BART CLIPPER RELOAD SAN FRANCISCO CA,-58.62,Transport
2026-05-04,GAMESTOP #0093 AUSTIN TX,-83.11,Shopping
2026-05-04,ACH CREDIT TAX REFUND IRS,1588.77,Income
2026-05-05,AMAZON PRIME*MI79K2 SEATTLE WA,-17.73,Subscriptions
2026-05-05,SIMPLE MOBILE AUTOPAY,-45.00,Utilities
2026-05-06,ADOBE  *CREATIVE CLD SAN JOSE CA,-22.20,Subscriptions
2026-05-06,SOUTHWEST.COM RESERVATIONS TX,-8.52,Transport
2026-05-06,SPECTRUM PAYMENT CHARTER COMM,-168.34,Utilities
2026-05-07,ONLINE PMT AIMCO PROPERTIES,-2196.16,Rent
2026-05-07,DELTA.COM 800-221-1212 GA,-37.76,Transport
2026-05-07,DAVE & BUSTERS #0087 DALLAS TX,-86.36,Entertainment
2026-05-07,WASTE MGMT #4471 AUTOPAY,-153.27,Utilities
2026-05-07,ROSS DRESS FOR LESS,-89.00,Shopping
2026-05-08,SUBWAY #8821 AUSTIN TX,-33.62,Dining
2026-05-08,ACH DEBIT IRVINE COMPANY APTS,-2207.14,Rent
2026-05-08,RENT PAYMENT ESSEX PROPERTY TRUST,-1921.77,Rent
2026-05-08,SPOTHERO PARKING SAN FRANCISCO CA,-37.51,Transport
2026-05-08,ACH CREDIT ACME CORP PAYROLL,1646.06,Income
2026-05-08,MONEYGRAM TRANSFER,-16.84,Other
